name,carrier,bus,emission_factor,p_nom,p_min,efficiency,marginal_cost,startup costs,technology,status
Unit_552,Biomass,68,0,6.8,1.36,1,0,0,Steam turbine,Market
Unit_553,Biomass,241,0,30.7,6.14,1,0,0,Steam turbine,Market
Unit_554,Biomass,245,0,17.9,3.58,1,0,0,Steam turbine,Market
Unit_555,Biomass,339,0,3.5,0.7,1,0,0,Steam turbine,Market
Unit_556,Biomass,242,0,8.1,1.62,1,0,0,Steam turbine,Market
Unit_557,Biomass,397,0,10.8,2.16,1,0,0,Steam turbine,Market
Unit_558,Biomass,284,0,18.6,3.72,1,0,0,Steam turbine,Market
Unit_559,Biomass,283,0,3.3,0.66,1,0,0,Steam turbine,Market
Unit_560,Biomass,51,0,36.2,7.24,1,0,0,Steam turbine,Market
Unit_561,Biomass,302,0,14.5,2.9,1,0,0,Steam turbine,Market
Unit_562,Biomass,304,0,18.3,3.66,1,0,0,Steam turbine,Market
Unit_563,Biomass,31,0,7.6,1.52,1,0,0,Steam turbine,Market
Unit_564,Biomass,286,0,17.7,3.54,1,0,0,Steam turbine,Market
Unit_565,Biomass,77,0,27.8,5.56,1,0,0,Steam turbine,Market
Unit_566,Biomass,276,0,1.6,0.32,1,0,0,Steam turbine,Market
Unit_567,Biomass,152,0,2.9,0.58,1,0,0,Steam turbine,Market
Unit_568,Biomass,120,0,29.5,5.9,1,0,0,Steam turbine,Market
Unit_569,Biomass,254,0,8.4,1.68,1,0,0,Steam turbine,Market
Unit_570,Biomass,211,0,14.9,2.98,1,0,0,Steam turbine,Market
Unit_571,Biomass,255,0,19.9,3.98,1,0,0,Steam turbine,Market
Unit_572,Biomass,128,0,8.9,1.78,1,0,0,Steam turbine,Market
Unit_573,Biomass,275,0,9.6,1.92,1,0,0,Steam turbine,Market
Unit_574,Biomass,238,0,13.4,2.68,1,0,0,Steam turbine,Market
Unit_575,Biomass,100,0,25.9,5.18,1,0,0,Steam turbine,Market
Unit_576,Biomass,223,0,3,0.6,1,0,0,Steam turbine,Market
Unit_577,Biomass,229,0,64.4,12.88,1,0,0,Steam turbine,Market
Unit_578,Biomass,224,0,3.9,0.78,1,0,0,Steam turbine,Market
Unit_579,Biomass,225,0,17.1,3.42,1,0,0,Steam turbine,Market
Unit_580,Biomass,54,0,0.4,0.08,1,0,0,Steam turbine,Market
Unit_581,Biomass,69,0,0.8,0.16,1,0,0,Steam turbine,Market
Unit_582,Biomass,257,0,1.3,0.26,1,0,0,Steam turbine,Market
Unit_583,Biomass,409,0,3.3,0.66,1,0,0,Steam turbine,Market
Unit_584,Biomass,260,0,29.4,5.88,1,0,0,Steam turbine,Market
Unit_585,Biomass,320,0,40,8,1,0,0,Steam turbine,Market
Unit_586,Biomass,377,0,13.8,2.76,1,0,0,Steam turbine,Market
Unit_587,Biomass,216,0,30.7,6.14,1,0,0,Steam turbine,Market
Unit_588,Biomass,379,0,17.9,3.58,1,0,0,Steam turbine,Market
Unit_589,Biomass,310,0,17.6,3.52,1,0,0,Steam turbine,Market
Unit_590,Biomass,311,0,91.3,18.26,1,0,0,Steam turbine,Market
Unit_591,Biomass,389,0,38.6,7.72,1,0,0,Steam turbine,Market
Unit_592,Biomass,394,0,38.4,7.68,1,0,0,Steam turbine,Market
Unit_593,Biomass,312,0,32.8,6.56,1,0,0,Steam turbine,Market
Unit_594,Biomass,438,0,13.2,2.64,1,0,0,Steam turbine,Market
Unit_595,Biomass,366,0,7.6,1.52,1,0,0,Steam turbine,Market
Unit_596,Biomass,422,0,22.1,4.42,1,0,0,Steam turbine,Market
Unit_597,Biomass,381,0,31.7,6.34,1,0,0,Steam turbine,Market
Unit_598,Biomass,58,0,19,3.8,1,0,0,Steam turbine,Market
Unit_599,Biomass,322,0,16.4,3.28,1,0,0,Steam turbine,Market
Unit_600,Biomass,53,0,7.5,1.5,1,0,0,Steam turbine,Market
Unit_601,Biomass,288,0,19.6,3.92,1,0,0,Steam turbine,Market
Unit_602,Biomass,189,0,45.6,9.12,1,0,0,Steam turbine,Market
Unit_603,Biomass,436,0,32.8,6.56,1,0,0,Steam turbine,Market
Unit_604,Biomass,406,0,30,6,1,0,0,Steam turbine,Market
Unit_605,Biomass,405,0,1.7,0.34,1,0,0,Steam turbine,Market
Unit_606,Biomass,235,0,18.2,3.64,1,0,0,Steam turbine,Market
Unit_607,Biomass,190,0,22.5,4.5,1,0,0,Steam turbine,Market
Unit_608,Biomass,233,0,180.4,36.08,1,0,0,Steam turbine,Market
Unit_609,Biomass,395,0,67.9,13.58,1,0,0,Steam turbine,Market
Unit_610,Biomass,264,0,47.4,9.48,1,0,0,Steam turbine,Market
Unit_611,Biomass,351,0,56.3,11.26,1,0,0,Steam turbine,Market
Unit_612,Biomass,354,0,20.9,4.18,1,0,0,Steam turbine,Market
Unit_613,Biomass,266,0,54.7,10.94,1,0,0,Steam turbine,Market
Unit_614,Biomass,331,0,85.3,17.06,1,0,0,Steam turbine,Market
Unit_615,Biomass,19,0,36,7.2,1,0,0,Steam turbine,Market
Unit_616,Biomass,13,0,22.8,4.56,1,0,0,Steam turbine,Market
Unit_617,Biomass,15,0,70.3,14.06,1,0,0,Steam turbine,Market
Unit_618,Biomass,352,0,46.1,9.22,1,0,0,Steam turbine,Market
Unit_619,Biomass,433,0,9.4,1.88,1,0,0,Steam turbine,Market
Unit_620,Biomass,315,0,43.3,8.66,1,0,0,Steam turbine,Market
Unit_621,Biomass,337,0,91.2,18.24,1,0,0,Steam turbine,Market
Unit_622,Biomass,330,0,45.8,9.16,1,0,0,Steam turbine,Market
Unit_623,Biomass,417,0,36.2,7.24,1,0,0,Steam turbine,Market
Unit_624,Biomass,332,0,12.7,2.54,1,0,0,Steam turbine,Market
Unit_625,Biomass,418,0,6.4,1.28,1,0,0,Steam turbine,Market
Unit_626,Biomass,349,0,24.8,4.96,1,0,0,Steam turbine,Market
Unit_627,Biomass,329,0,63,12.6,1,0,0,Steam turbine,Market
Unit_628,Biomass,338,0,60.9,12.18,1,0,0,Steam turbine,Market
Unit_629,Biomass,373,0,71,14.2,1,0,0,Steam turbine,Market
Unit_630,Biomass,66,0,67.6,13.52,1,0,0,Steam turbine,Market
Unit_631,Biomass,350,0,53.1,10.62,1,0,0,Steam turbine,Market
Unit_632,Biomass,335,0,43.5,8.7,1,0,0,Steam turbine,Market
Unit_633,Biomass,336,0,71.5,14.3,1,0,0,Steam turbine,Market
Unit_634,Biomass,334,0,28.6,5.72,1,0,0,Steam turbine,Market
Unit_635,Biomass,390,0,41.2,8.24,1,0,0,Steam turbine,Market
Unit_636,Biomass,384,0,238.2,47.64,1,0,0,Steam turbine,Market
Unit_637,Biomass,385,0,12.9,2.58,1,0,0,Steam turbine,Market
Unit_638,Biomass,383,0,15.3,3.06,1,0,0,Steam turbine,Market
Unit_639,Biomass,308,0,25.4,5.08,1,0,0,Steam turbine,Market
Unit_640,Biomass,316,0,51.1,10.22,1,0,0,Steam turbine,Market
Unit_641,Biomass,483,0,37.4,7.48,1,0,0,Steam turbine,Market
Unit_642,Biomass,247,0,10.9,2.18,1,0,0,Steam turbine,Market
Unit_643,Biomass,485,0,42,8.4,1,0,0,Steam turbine,Market
Unit_644,Biomass,410,0,54.3,10.86,1,0,0,Steam turbine,Market
Unit_645,Biomass,396,0,26.9,5.38,1,0,0,Steam turbine,Market
Unit_646,Biomass,232,0,22.1,4.42,1,0,0,Steam turbine,Market
Unit_647,Biomass,262,0,1.1,0.22,1,0,0,Steam turbine,Market
Unit_648,Biomass,318,0,95,19,1,0,0,Steam turbine,Market
Unit_649,Biomass,99,0,5.3,1.06,1,0,0,Steam turbine,Market
Unit_650,Biomass,371,0,5.8,1.16,1,0,0,Steam turbine,Market
Unit_651,Biomass,372,0,4.7,0.94,1,0,0,Steam turbine,Market
Unit_652,Biomass,348,0,43,8.6,1,0,0,Steam turbine,Market
Unit_653,Biomass,43,0,35.3,7.06,1,0,0,Steam turbine,Market
Unit_654,Biomass,428,0,17.8,3.56,1,0,0,Steam turbine,Market
Unit_655,Biomass,81,0,58.5,11.7,1,0,0,Steam turbine,Market
Unit_656,Biomass,10,0,33.8,6.76,1,0,0,Steam turbine,Market
Unit_657,Biomass,12,0,66.8,13.36,1,0,0,Steam turbine,Market
Unit_658,Biomass,74,0,47.6,9.52,1,0,0,Steam turbine,Market
Unit_659,Biomass,280,0,52.2,10.44,1,0,0,Steam turbine,Market
Unit_660,Biomass,11,0,17.8,3.56,1,0,0,Steam turbine,Market
Unit_661,Biomass,41,0,43.6,8.72,1,0,0,Steam turbine,Market
Unit_662,Biomass,45,0,67.4,13.48,1,0,0,Steam turbine,Market
Unit_663,Biomass,179,0,31.5,6.3,1,0,0,Steam turbine,Market
Unit_664,Biomass,217,0,5.7,1.14,1,0,0,Steam turbine,Market
Unit_665,Biomass,40,0,74.8,14.96,1,0,0,Steam turbine,Market
Unit_666,Biomass,42,0,49.3,9.86,1,0,0,Steam turbine,Market
Unit_667,Biomass,177,0,22.5,4.5,1,0,0,Steam turbine,Market
Unit_668,Biomass,18,0,65.1,13.02,1,0,0,Steam turbine,Market
Unit_669,Biomass,344,0,50,10,1,0,0,Steam turbine,Market
Unit_670,Biomass,345,0,13.1,2.62,1,0,0,Steam turbine,Market
Unit_671,Biomass,323,0,30,6,1,0,0,Steam turbine,Market
Unit_672,Biomass,326,0,26.1,5.22,1,0,0,Steam turbine,Market
Unit_673,Biomass,290,0,18.8,3.76,1,0,0,Steam turbine,Market
Unit_674,Biomass,324,0,34.6,6.92,1,0,0,Steam turbine,Market
Unit_675,Biomass,340,0,76.7,15.34,1,0,0,Steam turbine,Market
Unit_676,Biomass,282,0,26.8,5.36,1,0,0,Steam turbine,Market
Unit_677,Biomass,71,0,57.4,11.48,1,0,0,Steam turbine,Market
Unit_678,Biomass,72,0,43.3,8.66,1,0,0,Steam turbine,Market
Unit_679,Biomass,278,0,38.8,7.76,1,0,0,Steam turbine,Market
Unit_680,Biomass,50,0,23.1,4.62,1,0,0,Steam turbine,Market
Unit_681,Biomass,37,0,19.2,3.84,1,0,0,Steam turbine,Market
Unit_682,Biomass,75,0,29.6,5.92,1,0,0,Steam turbine,Market
Unit_683,Biomass,292,0,30,6,1,0,0,Steam turbine,Market
Unit_684,Biomass,39,0,199.8,39.96,1,0,0,Steam turbine,Market
Unit_685,Biomass,32,0,8.2,1.64,1,0,0,Steam turbine,Market
Unit_686,Biomass,281,0,15.1,3.02,1,0,0,Steam turbine,Market
Unit_687,Biomass,441,0,26.9,5.38,1,0,0,Steam turbine,Market
Unit_688,Biomass,442,0,6.9,1.38,1,0,0,Steam turbine,Market
Unit_689,Biomass,342,0,30.4,6.08,1,0,0,Steam turbine,Market
Unit_690,Biomass,33,0,22.2,4.44,1,0,0,Steam turbine,Market
Unit_691,Biomass,343,0,12.4,2.48,1,0,0,Steam turbine,Market
Unit_692,Biomass,294,0,8.6,1.72,1,0,0,Steam turbine,Market
Unit_693,Biomass,293,0,7.3,1.46,1,0,0,Steam turbine,Market
Unit_694,Biomass,78,0,87.7,17.54,1,0,0,Steam turbine,Market
Unit_695,hydro,84,0,2.5,0,1,0,0,hydro,Market
Unit_696,hydro,8,0,2.2,0,1,0,0,hydro,Market
Unit_697,hydro,24,0,0.2,0,1,0,0,hydro,Market
Unit_698,hydro,495,0,0.1,0,1,0,0,hydro,Market
Unit_699,hydro,295,0,0.1,0,1,0,0,hydro,Market
Unit_700,hydro,482,0,0.1,0,1,0,0,hydro,Market
Unit_701,hydro,16,0,0.1,0,1,0,0,hydro,Market
Unit_702,hydro,426,0,2.3,0,1,0,0,hydro,Market
Unit_703,hydro,259,0,47.1,0,1,0,0,hydro,Market
Unit_704,hydro,425,0,0.1,0,1,0,0,hydro,Market
Unit_705,hydro,258,0,5.7,0,1,0,0,hydro,Market
Unit_706,hydro,380,0,1,0,1,0,0,hydro,Market
Unit_707,hydro,210,0,0.7,0,1,0,0,hydro,Market
Unit_708,hydro,226,0,0.8,0,1,0,0,hydro,Market
Unit_709,hydro,296,0,1.4,0,1,0,0,hydro,Market
Unit_710,hydro,299,0,0.2,0,1,0,0,hydro,Market
Unit_711,hydro,9,0,0.1,0,1,0,0,hydro,Market
Unit_712,hydro,474,0,4,0,1,0,0,hydro,Market
Unit_713,hydro,159,0,0.2,0,1,0,0,hydro,Market
Unit_714,hydro,95,0,0.1,0,1,0,0,hydro,Market
Unit_715,hydro,62,0,10,0,1,0,0,hydro,Market
Unit_716,hydro,200,0,0.6,0,1,0,0,hydro,Market
Unit_717,hydro,169,0,13.6,0,1,0,0,hydro,Market
Unit_718,hydro,170,0,10,0,1,0,0,hydro,Market
Unit_719,hydro,130,0,1.4,0,1,0,0,hydro,Market
Unit_720,hydro,126,0,0.6,0,1,0,0,hydro,Market
Unit_721,hydro,132,0,0.1,0,1,0,0,hydro,Market
Unit_722,hydro,364,0,0.5,0,1,0,0,hydro,Market
Unit_723,hydro,122,0,1.4,0,1,0,0,hydro,Market
Unit_724,hydro,119,0,27.6,0,1,0,0,hydro,Market
Unit_725,hydro,453,0,1.4,0,1,0,0,hydro,Market
Unit_726,hydro,204,0,18.3,0,1,0,0,hydro,Market
Unit_727,hydro,149,0,1,0,1,0,0,hydro,Market
Unit_728,hydro,374,0,0.1,0,1,0,0,hydro,Market
Unit_729,hydro,85,0,0.4,0,1,0,0,hydro,Market
Unit_730,hydro,90,0,0.2,0,1,0,0,hydro,Market
Unit_731,hydro,289,0,0.2,0,1,0,0,hydro,Market
Unit_732,hydro,472,0,0.1,0,1,0,0,hydro,Market
Unit_733,hydro,219,0,0.2,0,1,0,0,hydro,Market
Unit_734,hydro,490,0,1.4,0,1,0,0,hydro,Market
Unit_735,hydro,386,0,0.5,0,1,0,0,hydro,Market
Unit_736,hydro,209,0,3.1,0,1,0,0,hydro,Market
Unit_737,hydro,411,0,1.7,0,1,0,0,hydro,Market
Unit_738,hydro,144,0,1.3,0,1,0,0,hydro,Market
Unit_739,hydro,363,0,2.3,0,1,0,0,hydro,Market
Unit_740,hydro,147,0,4.2,0,1,0,0,hydro,Market
Unit_741,hydro,470,0,1.2,0,1,0,0,hydro,Market
Unit_742,hydro,109,0,8.5,0,1,0,0,hydro,Market
Unit_743,hydro,114,0,17.9,0,1,0,0,hydro,Market
Unit_744,hydro,178,0,18.8,0,1,0,0,hydro,Market
Unit_745,hydro,110,0,10.1,0,1,0,0,hydro,Market
Unit_746,hydro,166,0,4.3,0,1,0,0,hydro,Market
Unit_747,hydro,492,0,7.2,0,1,0,0,hydro,Market
Unit_748,hydro,70,0,7.4,0,1,0,0,hydro,Market
Unit_749,hydro,228,0,7.1,0,1,0,0,hydro,Market
Unit_750,hydro,241,0,0.1,0,1,0,0,hydro,Market
Unit_751,hydro,245,0,4.3,0,1,0,0,hydro,Market
Unit_752,hydro,339,0,0.1,0,1,0,0,hydro,Market
Unit_753,hydro,397,0,1.6,0,1,0,0,hydro,Market
Unit_754,hydro,284,0,1,0,1,0,0,hydro,Market
Unit_755,hydro,283,0,3.7,0,1,0,0,hydro,Market
Unit_756,hydro,242,0,13.1,0,1,0,0,hydro,Market
Unit_757,hydro,51,0,2.8,0,1,0,0,hydro,Market
Unit_758,hydro,302,0,0.7,0,1,0,0,hydro,Market
Unit_759,hydro,304,0,2.1,0,1,0,0,hydro,Market
Unit_760,hydro,31,0,2.8,0,1,0,0,hydro,Market
Unit_761,hydro,286,0,1.9,0,1,0,0,hydro,Market
Unit_762,hydro,77,0,18.4,0,1,0,0,hydro,Market
Unit_763,hydro,276,0,16.4,0,1,0,0,hydro,Market
Unit_764,hydro,120,0,1.9,0,1,0,0,hydro,Market
Unit_765,hydro,254,0,1.3,0,1,0,0,hydro,Market
Unit_766,hydro,211,0,0.9,0,1,0,0,hydro,Market
Unit_767,hydro,255,0,103.1,0,1,0,0,hydro,Market
Unit_768,hydro,128,0,20.3,0,1,0,0,hydro,Market
Unit_769,hydro,275,0,1.6,0,1,0,0,hydro,Market
Unit_770,hydro,238,0,72.8,0,1,0,0,hydro,Market
Unit_771,hydro,100,0,1.3,0,1,0,0,hydro,Market
Unit_772,hydro,224,0,0.3,0,1,0,0,hydro,Market
Unit_773,hydro,223,0,0.4,0,1,0,0,hydro,Market
Unit_774,hydro,225,0,0.5,0,1,0,0,hydro,Market
Unit_775,hydro,409,0,9.1,0,1,0,0,hydro,Market
Unit_776,hydro,260,0,5.8,0,1,0,0,hydro,Market
Unit_777,hydro,320,0,13.3,0,1,0,0,hydro,Market
Unit_778,hydro,377,0,3.6,0,1,0,0,hydro,Market
Unit_779,hydro,216,0,13.6,0,1,0,0,hydro,Market
Unit_780,hydro,379,0,0.9,0,1,0,0,hydro,Market
Unit_781,hydro,310,0,16.1,0,1,0,0,hydro,Market
Unit_782,hydro,311,0,6.8,0,1,0,0,hydro,Market
Unit_783,hydro,389,0,29.9,0,1,0,0,hydro,Market
Unit_784,hydro,394,0,1.6,0,1,0,0,hydro,Market
Unit_785,hydro,312,0,0.6,0,1,0,0,hydro,Market
Unit_786,hydro,375,0,1.2,0,1,0,0,hydro,Market
Unit_787,hydro,366,0,1.4,0,1,0,0,hydro,Market
Unit_788,hydro,438,0,129.6,0,1,0,0,hydro,Market
Unit_789,hydro,422,0,11.8,0,1,0,0,hydro,Market
Unit_790,hydro,229,0,4.1,0,1,0,0,hydro,Market
Unit_791,hydro,381,0,6.1,0,1,0,0,hydro,Market
Unit_792,hydro,58,0,4.6,0,1,0,0,hydro,Market
Unit_793,hydro,322,0,3.6,0,1,0,0,hydro,Market
Unit_794,hydro,53,0,3.1,0,1,0,0,hydro,Market
Unit_795,hydro,288,0,7,0,1,0,0,hydro,Market
Unit_796,hydro,189,0,7.9,0,1,0,0,hydro,Market
Unit_797,hydro,436,0,2.4,0,1,0,0,hydro,Market
Unit_798,hydro,406,0,2.5,0,1,0,0,hydro,Market
Unit_799,hydro,405,0,146.9,0,1,0,0,hydro,Market
Unit_800,hydro,235,0,197.9,0,1,0,0,hydro,Market
Unit_801,hydro,190,0,6.6,0,1,0,0,hydro,Market
Unit_802,hydro,233,0,40.2,0,1,0,0,hydro,Market
Unit_803,hydro,395,0,12.2,0,1,0,0,hydro,Market
Unit_804,hydro,264,0,2.7,0,1,0,0,hydro,Market
Unit_805,hydro,351,0,93,0,1,0,0,hydro,Market
Unit_806,hydro,354,0,30.8,0,1,0,0,hydro,Market
Unit_807,hydro,266,0,244.1,0,1,0,0,hydro,Market
Unit_808,hydro,331,0,238.1,0,1,0,0,hydro,Market
Unit_809,hydro,19,0,156.2,0,1,0,0,hydro,Market
Unit_810,hydro,13,0,5.1,0,1,0,0,hydro,Market
Unit_811,hydro,15,0,70,0,1,0,0,hydro,Market
Unit_812,hydro,352,0,61.7,0,1,0,0,hydro,Market
Unit_813,hydro,433,0,6.1,0,1,0,0,hydro,Market
Unit_814,hydro,315,0,83.8,0,1,0,0,hydro,Market
Unit_815,hydro,337,0,90.4,0,1,0,0,hydro,Market
Unit_816,hydro,330,0,51.3,0,1,0,0,hydro,Market
Unit_817,hydro,417,0,188.2,0,1,0,0,hydro,Market
Unit_818,hydro,332,0,36.3,0,1,0,0,hydro,Market
Unit_819,hydro,418,0,22.9,0,1,0,0,hydro,Market
Unit_820,hydro,349,0,9.4,0,1,0,0,hydro,Market
Unit_821,hydro,329,0,151.4,0,1,0,0,hydro,Market
Unit_822,hydro,373,0,12.4,0,1,0,0,hydro,Market
Unit_823,hydro,66,0,8.1,0,1,0,0,hydro,Market
Unit_824,hydro,338,0,8.8,0,1,0,0,hydro,Market
Unit_825,hydro,350,0,2.1,0,1,0,0,hydro,Market
Unit_826,hydro,335,0,20.8,0,1,0,0,hydro,Market
Unit_827,hydro,336,0,9.3,0,1,0,0,hydro,Market
Unit_828,hydro,343,0,1.3,0,1,0,0,hydro,Market
Unit_829,hydro,334,0,4.9,0,1,0,0,hydro,Market
Unit_830,hydro,390,0,10.5,0,1,0,0,hydro,Market
Unit_831,hydro,384,0,4.9,0,1,0,0,hydro,Market
